Country,GHI_Mean,GHI_Median,GHI_StdDev,DNI_Mean,DNI_Median,DNI_StdDev,DHI_Mean,DHI_Median,DHI_StdDev
Benin,240.80926325893915,1.9,331.2168413476187,167.36508107922788,-0.1,261.79264616023096,115.47549853154602,1.6,158.73203740253177
Sierra Leone,202.14419831725957,0.3,298.5905044304303,116.49358295696761,-0.1,218.73314837338606,113.81729466243289,-0.1,158.99453158018682
Togo,230.74614893904683,2.2,322.60295393694577,151.38831475736993,0.0,251.02613553219626,116.53691256253082,2.6,156.55207759361545
