Country,GHI_Mean,GHI_Median,GHI_StdDev,DNI_Mean,DNI_Median,DNI_StdDev,DHI_Mean,DHI_Median,DHI_StdDev
Benin,240.80926325893935,1.9,331.21705162753744,167.36508107922793,-0.1,261.79281236475157,115.475498531546,1.6,158.73213817687576
Sierra Leone,202.1441983172596,0.3,298.5906940203097,116.49358295696764,-0.1,218.73328725788042,113.81729466243286,-0.1,158.99463253367878
Togo,230.74614893904686,2.2,322.60315870954696,151.38831475736995,0.0,251.02629487132873,116.53691256253087,2.6,156.55217696522936
